threshold,f1,recall,balanced_accuracy
0.45,0.022532620566764385,0.7913862718707941,0.8244538582450849
0.46,0.022951977401129944,0.7873485868102288,0.8241326563864628
0.47,0.02340613457523687,0.784656796769852,0.8244087645822669
0.48,0.023865760233317587,0.7819650067294751,0.8246386498884961
0.49,0.02437486866988863,0.7806191117092867,0.8255036639769855
0.5,0.02492734904746529,0.7792732166890982,0.8264191030359203
0.51,0.025438113082773064,0.7765814266487214,0.8265971626780807
0.52,0.02586849055326065,0.7711978465679677,0.8253901078785951
0.53,0.026427036891589088,0.7698519515477793,0.8261332616218415
0.54,0.026982887168927074,0.7671601615074024,0.8262412865828278
0.55,0.027546335657201156,0.7631224764468372,0.8257337924722826
0.56,0.028086950026144766,0.7590847913862718,0.8251198456463528
0.57,0.028745332719553988,0.756393001345895,0.8252544837861853
0.58,0.02930767819225627,0.7523553162853297,0.8245691015854577
0.59,0.029976051449021875,0.7496635262449529,0.824598687703529
0.6,0.03075901748174375,0.7483176312247645,0.8253404407531519
0.61,0.03151129059780445,0.7456258411843876,0.825378431032964
0.62,0.03233350874115652,0.7442799461641992,0.8260431459332955
0.63,0.033208001203188446,0.7429340511440108,0.8267148643017443
0.64,0.034074716560312246,0.7402422611036339,0.8267150358537225
0.65,0.03486367409488538,0.7348586810228802,0.8253623089173947
0.66,0.03585762221198763,0.7335127860026918,0.8259822016217747
0.67,0.03652286073113608,0.7240915208613729,0.8225742141209538
0.68,0.03748073420204568,0.7200538358008075,0.8218300027880401
0.69,0.03844622235093943,0.7146702557200538,0.8204282515748905
0.7,0.03952983454368496,0.7106325706594886,0.8196784374674829
0.71,0.04073098962366424,0.7079407806191117,0.8195707556104528
0.72,0.042008032128514054,0.7039030955585465,0.8188475546818914
0.73,0.04335705072192402,0.7012113055181696,0.8187132596460152
0.74,0.0447361602901805,0.6971736204576043,0.8179158219554092
0.75,0.046169046977454414,0.6917900403768507,0.8164678478526847
0.76,0.047985809643840735,0.6917900403768507,0.8176486325772803
0.77,0.049434273782353225,0.6850605652759085,0.8154394672661822
0.78,0.051188485124930315,0.6796769851951547,0.8139494723547531
0.79,0.05322188128240398,0.676985195154778,0.8137619509611846
0.8,0.05496571554965716,0.6689098250336474,0.810861629122887
0.81,0.057630860396212166,0.6675639300134589,0.8114072850652224
0.82,0.06006592601635942,0.6621803499327052,0.8098738686514655
0.83,0.06264068428837867,0.6554508748317631,0.8076689054212378
0.84,0.06585764930460868,0.6500672947510094,0.806205523688655
0.85,0.06885103926096997,0.6419919246298789,0.8032967976886165
0.86,0.07229470452801227,0.6339165545087483,0.8004076813993067
0.87,0.07556757642816163,0.620457604306864,0.7948253743759967
0.88,0.08101933216168718,0.620457604306864,0.7959753438408756
0.89,0.08540387340576287,0.6083445491251682,0.7910197614380848
0.9,0.09038854805725971,0.594885598923284,0.7854038377678112
0.91,0.09615170105967652,0.5800807537012113,0.7791275728300546
0.92,0.10302655960469426,0.5612382234185733,0.7709053014304366
0.93,0.11295681063122924,0.5491251682368775,0.7660561717430305
0.94,0.1247244094488189,0.5329744279946165,0.7591881995253418
0.95,0.14081931236283834,0.5181695827725438,0.7530057810603585
0.96,0.1622207764042507,0.5033647375504711,0.7467883452547882
0.97,0.19083355668721522,0.4791386271870794,0.7358826879765341
0.98,0.23101377605086543,0.44010767160161507,0.7175872143298552
0.99,0.2725250278086763,0.3297442799461642,0.6637375781380614
