smoothing_window,threshold,min_duration,min_peak_probability,true_positive_events,false_positive_events,false_negative_events,total_gt_events,total_predicted_events,precision,recall,f1,balanced_accuracy,mcc,cohen_kappa,alarm_rate,suppression_rate,total_events_before_suppression,suppressed_events,retained_events
3,0.05,10,0.7,12,154,11,23,166,0.072289,0.521739,0.126984,,,,166,0.9772,7271,7105,166
3,0.05,10,0.75,12,132,11,23,144,0.083333,0.521739,0.143713,,,,144,0.9802,7271,7127,144
3,0.05,10,0.8,12,113,11,23,125,0.096,0.521739,0.162162,,,,125,0.9828,7271,7146,125
3,0.05,10,0.85,12,95,11,23,107,0.11215,0.521739,0.184615,,,,107,0.9853,7271,7164,107
3,0.05,10,0.9,12,82,11,23,94,0.12766,0.521739,0.205128,,,,94,0.9871,7271,7177,94
3,0.05,10,0.95,12,59,11,23,71,0.169014,0.521739,0.255319,,,,71,0.9902,7271,7200,71
3,0.05,10,0.99,12,59,11,23,71,0.169014,0.521739,0.255319,,,,71,0.9902,7271,7200,71
3,0.05,15,0.5,13,341,10,23,354,0.036723,0.565217,0.068966,,,,354,0.9513,7271,6917,354
3,0.05,15,0.55,13,275,10,23,288,0.045139,0.565217,0.083601,,,,288,0.9604,7271,6983,288
3,0.05,15,0.6,13,230,10,23,243,0.053498,0.565217,0.097744,,,,243,0.9666,7271,7028,243
3,0.05,15,0.65,13,183,10,23,196,0.066327,0.565217,0.118721,,,,196,0.973,7271,7075,196
3,0.05,15,0.7,12,147,11,23,159,0.075472,0.521739,0.131868,,,,159,0.9781,7271,7112,159
3,0.05,15,0.75,12,127,11,23,139,0.086331,0.521739,0.148148,,,,139,0.9809,7271,7132,139
3,0.05,15,0.8,12,108,11,23,120,0.1,0.521739,0.167832,,,,120,0.9835,7271,7151,120
3,0.05,15,0.85,12,94,11,23,106,0.113208,0.521739,0.186047,,,,106,0.9854,7271,7165,106
3,0.05,15,0.9,12,81,11,23,93,0.129032,0.521739,0.206897,,,,93,0.9872,7271,7178,93
3,0.05,15,0.95,12,59,11,23,71,0.169014,0.521739,0.255319,,,,71,0.9902,7271,7200,71
3,0.05,15,0.99,12,59,11,23,71,0.169014,0.521739,0.255319,,,,71,0.9902,7271,7200,71
3,0.06,1,0.5,14,435,9,23,449,0.03118,0.608696,0.059322,,,,449,0.9378,7213,6764,449
3,0.06,1,0.55,14,337,9,23,351,0.039886,0.608696,0.074866,,,,351,0.9513,7213,6862,351
3,0.06,1,0.6,14,268,9,23,282,0.049645,0.608696,0.091803,,,,282,0.9609,7213,6931,282
3,0.06,1,0.65,14,213,9,23,227,0.061674,0.608696,0.112,,,,227,0.9685,7213,6986,227
3,0.06,1,0.7,12,166,11,23,178,0.067416,0.521739,0.119403,,,,178,0.9753,7213,7035,178
3,0.06,1,0.75,12,139,11,23,151,0.07947,0.521739,0.137931,,,,151,0.9791,7213,7062,151
3,0.06,1,0.8,12,118,11,23,130,0.092308,0.521739,0.156863,,,,130,0.982,7213,7083,130
3,0.06,1,0.85,12,100,11,23,112,0.107143,0.521739,0.177778,,,,112,0.9845,7213,7101,112
3,0.06,1,0.9,12,86,11,23,98,0.122449,0.521739,0.198347,,,,98,0.9864,7213,7115,98
3,0.06,1,0.95,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,1,0.99,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,2,0.5,14,435,9,23,449,0.03118,0.608696,0.059322,,,,449,0.9378,7213,6764,449
3,0.06,2,0.55,14,337,9,23,351,0.039886,0.608696,0.074866,,,,351,0.9513,7213,6862,351
3,0.06,2,0.6,14,268,9,23,282,0.049645,0.608696,0.091803,,,,282,0.9609,7213,6931,282
3,0.06,2,0.65,14,213,9,23,227,0.061674,0.608696,0.112,,,,227,0.9685,7213,6986,227
3,0.06,2,0.7,12,166,11,23,178,0.067416,0.521739,0.119403,,,,178,0.9753,7213,7035,178
3,0.06,2,0.75,12,139,11,23,151,0.07947,0.521739,0.137931,,,,151,0.9791,7213,7062,151
3,0.06,2,0.8,12,118,11,23,130,0.092308,0.521739,0.156863,,,,130,0.982,7213,7083,130
3,0.06,2,0.85,12,100,11,23,112,0.107143,0.521739,0.177778,,,,112,0.9845,7213,7101,112
3,0.06,2,0.9,12,86,11,23,98,0.122449,0.521739,0.198347,,,,98,0.9864,7213,7115,98
3,0.06,2,0.95,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,2,0.99,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,3,0.5,14,435,9,23,449,0.03118,0.608696,0.059322,,,,449,0.9378,7213,6764,449
3,0.06,3,0.55,14,337,9,23,351,0.039886,0.608696,0.074866,,,,351,0.9513,7213,6862,351
3,0.06,3,0.6,14,268,9,23,282,0.049645,0.608696,0.091803,,,,282,0.9609,7213,6931,282
3,0.06,3,0.65,14,213,9,23,227,0.061674,0.608696,0.112,,,,227,0.9685,7213,6986,227
3,0.06,3,0.7,12,166,11,23,178,0.067416,0.521739,0.119403,,,,178,0.9753,7213,7035,178
3,0.06,3,0.75,12,139,11,23,151,0.07947,0.521739,0.137931,,,,151,0.9791,7213,7062,151
3,0.06,3,0.8,12,118,11,23,130,0.092308,0.521739,0.156863,,,,130,0.982,7213,7083,130
3,0.06,3,0.85,12,100,11,23,112,0.107143,0.521739,0.177778,,,,112,0.9845,7213,7101,112
3,0.06,3,0.9,12,86,11,23,98,0.122449,0.521739,0.198347,,,,98,0.9864,7213,7115,98
3,0.06,3,0.95,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,3,0.99,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,5,0.5,14,435,9,23,449,0.03118,0.608696,0.059322,,,,449,0.9378,7213,6764,449
3,0.06,5,0.55,14,337,9,23,351,0.039886,0.608696,0.074866,,,,351,0.9513,7213,6862,351
3,0.06,5,0.6,14,268,9,23,282,0.049645,0.608696,0.091803,,,,282,0.9609,7213,6931,282
3,0.06,5,0.65,14,213,9,23,227,0.061674,0.608696,0.112,,,,227,0.9685,7213,6986,227
3,0.06,5,0.7,12,166,11,23,178,0.067416,0.521739,0.119403,,,,178,0.9753,7213,7035,178
3,0.06,5,0.75,12,139,11,23,151,0.07947,0.521739,0.137931,,,,151,0.9791,7213,7062,151
3,0.06,5,0.8,12,118,11,23,130,0.092308,0.521739,0.156863,,,,130,0.982,7213,7083,130
3,0.06,5,0.85,12,100,11,23,112,0.107143,0.521739,0.177778,,,,112,0.9845,7213,7101,112
3,0.06,5,0.9,12,86,11,23,98,0.122449,0.521739,0.198347,,,,98,0.9864,7213,7115,98
3,0.06,5,0.95,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,5,0.99,12,63,11,23,75,0.16,0.521739,0.244898,,,,75,0.9896,7213,7138,75
3,0.06,7,0.5,14,434,9,23,448,0.03125,0.608696,0.059448,,,,448,0.9379,7213,6765,448
3,0.06,7,0.55,14,336,9,23,350,0.04,0.608696,0.075067,,,,350,0.9515,7213,6863,350
3,0.06,7,0.6,14,268,9,23,282,0.049645,0.608696,0.091803,,,,282,0.9609,7213,6931,282
3,0.06,7,0.65,14,213,9,23,227,0.061674,0.608696,0.112,,,,227,0.9685,7213,6986,227
3,0.06,7,0.7,12,166,11,23,178,0.067416,0.521739,0.119403,,,,178,0.9753,7213,7035,178
