threshold,precision,recall,specificity,balanced_accuracy,f1,mcc,kappa
0.31,0.014186807118888842,0.5893250992501102,0.7253835891580414,0.6573543442040758,0.027706633208556705,0.05722250664227119,0.014890932671503099
0.32,0.01484912313367702,0.5628584031760036,0.7495836500945107,0.656221026635257,0.028934896482913443,0.05850092033693523,0.016164554348691795
0.33,0.015443378508705141,0.5368328187031319,0.7704913668405032,0.6536620927718175,0.03002306620123102,0.05926398913067724,0.017297006685707328
0.34,0.016046177640300485,0.5125716806352008,0.789224894026747,0.6508982873309739,0.031118192895304153,0.05998255013106209,0.018438189528915072
0.35000000000000003,0.01687250217855104,0.4953683281870313,0.8064379675616834,0.6509031478743573,0.0326334907373774,0.06189550842441398,0.020007492117565806
0.36000000000000004,0.01754186125982458,0.47551830613145124,0.8214058575920629,0.648462081861757,0.03383553044569994,0.06279037070336407,0.02126007962620924
0.37,0.018155218303280277,0.45434494927216584,0.8352260121813777,0.6447854807267718,0.03491525423728813,0.06319920832157742,0.022391409186540034
0.38,0.018676627534685165,0.4322893692104102,0.8476824914141698,0.63998593031229,0.035806280713933394,0.06306474957923136,0.02333342139845429
0.39,0.019255349853626355,0.41199823555359505,0.8592781690661634,0.6356382023098792,0.0367912079254722,0.0631217423108434,0.024373681775531564
0.4,0.020227135273167125,0.3983237759153066,0.8706135355871939,0.6344686557512502,0.03849925389042848,0.06480125110347547,0.02615206693711436
0.41000000000000003,0.021294220836175812,0.3855315394794883,0.8811738848774023,0.6333527121784454,0.04035926208122648,0.06661758552933272,0.028088626145474915
0.42000000000000004,0.02235929067077872,0.3709748566387296,0.8912254442298192,0.6311001504342744,0.0421765295887663,0.06802535610565781,0.02998806951904731
0.43,0.02346186354230422,0.3550948389942655,0.9008865368857915,0.6279906879400285,0.04401552845972989,0.06915800703688361,0.0319174964282225
0.44,0.024979103709895197,0.3427437141596824,0.9102843603297669,0.6265140372447247,0.046564588140113265,0.07142248720865027,0.034576337979222216
0.45,0.02651147752990624,0.325540361711513,0.9198389620685269,0.62268966189002,0.049030029231995745,0.07283355357665867,0.037168589329826474
0.46,0.028604810442770235,0.31318923687692984,0.9286777081971384,0.6209334725370341,0.05242173656231541,0.07566340160435833,0.04071109484486368
0.47000000000000003,0.030213940024424443,0.2946625496250551,0.9365757845570422,0.6156191670910487,0.05480800787659994,0.07631952963535087,0.04324700720009589
0.48000000000000004,0.033022992644411296,0.2831936479929422,0.9443910346480031,0.6137923413204727,0.05914870093974572,0.07976844036374532,0.04778756980845167
0.49,0.03589863913655561,0.2699602999558888,0.9513809801305697,0.6106706400432292,0.06337043748382086,0.08253909327078855,0.05222562864200364
0.5,0.03909230872213669,0.2576091751213057,0.9575367467616408,0.6075729609414733,0.06788329652446821,0.08542683515610082,0.05697508084252678
0.51,0.043451224251846096,0.24658138509042787,0.9635978547996343,0.6050896199450311,0.07388316151202749,0.08964522938104401,0.06327316209828293
0.52,0.04764473211075153,0.23378914865460962,0.9686620895292806,0.601225619091945,0.07915764319318945,0.09261487832413995,0.06885246737672313
0.53,0.0530437506526052,0.22408469342743714,0.9731731631056301,0.5986289282665336,0.08578183046268152,0.09702694016358301,0.07582608617719266
0.54,0.057937285644292014,0.2086457873842082,0.9772493987700299,0.5929475930771191,0.09069120889655834,0.09882429079239878,0.08110979476937996
0.55,0.06507936507936508,0.19894133215703572,0.9808345929828401,0.5898879625699379,0.09807545938893117,0.10353966412134953,0.08892952759434625
0.56,0.07315377932232842,0.18570798411998235,0.9842215957663945,0.5849647899431885,0.1049613562702568,0.10720726018415426,0.09632433083811154
0.5700000000000001,0.08181026979982593,0.1658579620644023,0.9875168980379049,0.5766874300511535,0.10957307300014571,0.1080913932076411,0.1015573012232388
0.5800000000000001,0.08741258741258741,0.14336127040141156,0.9899632310527514,0.5666622507270815,0.1086048454469507,0.10433140976756933,0.10116585965474634
0.59,0.09986320109439124,0.12880458756065286,0.9922143307193757,0.5605094591400143,0.11250240801387015,0.10666274840195782,0.10579192369033452
0.6,0.1242152466367713,0.12218791354212616,0.9942228677412389,0.5582053906416825,0.12319323993773627,0.11736612534311416,0.11736209970011902
0.61,0.14472900536033353,0.10719011910013233,0.9957521956356472,0.5514711573678898,0.12316269640141916,0.11951350249575247,0.11816384236230126
0.62,0.16732128829536527,0.09395677106307895,0.9968644341043078,0.5454106025836933,0.12033898305084746,0.12102114861788976,0.11610435691605292
0.63,0.19102296450939457,0.08072342302602559,0.9977074871989043,0.5392154551124649,0.11348837209302326,0.12041790370107897,0.10996603180123465
0.64,0.2393980848153215,0.07719453021614468,0.9983553069452784,0.5377749185807116,0.11674449633088725,0.13274439911525313,0.11386594409483375
0.65,0.2918918918918919,0.07146007940008822,0.998837474153767,0.5351487767769276,0.11481218993621545,0.1417172023608335,0.11248677882198421
