feature,generalization_score,stability_score,patient_consistency_score
std_std_lag1,0.891729,0.42608,0.6589045
rms_std_lag1,0.89191,0.42608,0.658995
beta_power_mean_lag3,0.595225,0.42894699999999997,0.512086
mad_std_rolling_mean_5,0.8478140000000001,0.43140199999999995,0.639608
min_std_rolling_mean_5,0.835631,0.43164199999999997,0.6336364999999999
alpha_power_max_stability_5,0.892031,0.43176099999999995,0.661896
beta_power_max_lag1,0.589286,0.434748,0.5120169999999999
wavelet_energy_0_std_lag3,0.901003,0.43708400000000003,0.6690435
max_std_rolling_mean_5,0.83556,0.43749499999999997,0.6365274999999999
wavelet_energy_0_max_lag3,0.901347,0.43936699999999995,0.670357
beta_power_max,0.589306,0.44031,0.5148079999999999
ptp_std_rolling_mean_5,0.839488,0.44832700000000003,0.6439075000000001
max_std,0.847181,0.448858,0.6480195
rms_std_lag3,0.891994,0.45382100000000003,0.6729075
std_std_lag3,0.891823,0.454113,0.672968
alpha_relative_mean_rolling_mean_5,0.827943,0.45751200000000003,0.6427275
wavelet_energy_3_mean_rolling_mean_5,0.623136,0.45821500000000004,0.5406755000000001
beta_power_max_lag3,0.58928,0.459159,0.5242195000000001
beta_power_std_rolling_mean_5,0.596671,0.461442,0.5290565
ptp_std,0.8366560000000001,0.46226500000000004,0.6494605
alpha_power_std_stability_5,0.891002,0.463021,0.6770115
wavelet_energy_3_mean_lag1,0.617328,0.463074,0.5402009999999999
wavelet_energy_3_mean,0.617298,0.464376,0.540837
wavelet_energy_2_std_stability_5,0.841744,0.46677900000000005,0.6542615
max_std_lag1,0.8472109999999999,0.46811899999999995,0.6576649999999999
iqr_std,0.853308,0.470627,0.6619675
wavelet_energy_3_mean_lag3,0.617373,0.473202,0.5452874999999999
ptp_std_lag1,0.836672,0.47596400000000005,0.656318
iqr_std_lag1,0.853326,0.47618799999999994,0.664757
beta_power_std,0.592719,0.47999899999999995,0.536359
beta_power_std_lag1,0.5927549999999999,0.48099400000000003,0.5368744999999999
iqr_std_lag3,0.853403,0.483622,0.6685125000000001
min_std,0.827765,0.48609199999999997,0.6569285
beta_power_mean_stability_5,0.77727,0.487432,0.632351
mad_std,0.8499369999999999,0.493046,0.6714914999999999
mad_std_lag1,0.849984,0.496325,0.6731545
delta_power_mean_rolling_mean_5,0.947537,0.5,0.7237685
alpha_relative_mean,0.858495,0.500427,0.679461
alpha_relative_mean_lag3,0.858482,0.5021260000000001,0.680304
beta_power_std_lag3,0.592781,0.502657,0.5477190000000001
min_std_lag1,0.8277829999999999,0.502657,0.6652199999999999
alpha_relative_mean_lag1,0.8584849999999999,0.5047010000000001,0.681593
beta_power_max_stability_5,0.703137,0.5064150000000001,0.604776
mad_std_lag3,0.850073,0.507036,0.6785545
wavelet_energy_3_max,0.620717,0.510742,0.5657295
wavelet_energy_3_max_lag1,0.620742,0.511378,0.56606
delta_power_mean_lag1,0.951261,0.5163409999999999,0.7338009999999999
max_std_lag3,0.84731,0.518759,0.6830345
delta_power_mean,0.951274,0.51962,0.735447
wavelet_energy_3_max_rolling_mean_5,0.625564,0.522794,0.574179
ptp_std_lag3,0.836841,0.5256080000000001,0.6812245
delta_relative_std_rolling_mean_5,0.584657,0.5277339999999999,0.5561955
wavelet_energy_3_std_rolling_mean_5,0.628798,0.529576,0.579187
wavelet_energy_3_max_lag3,0.6208359999999999,0.530294,0.575565
higuchi_fd_mean_lag1,0.8258030000000001,0.530841,0.6783220000000001
higuchi_fd_mean,0.825757,0.533229,0.6794929999999999
higuchi_fd_std,0.798102,0.5343439999999999,0.666223
delta_power_std_lag1,0.966435,0.53531,0.7508725
delta_power_std,0.966429,0.53531,0.7508695
wavelet_energy_1_max_stability_5,0.843469,0.536612,0.6900405000000001
delta_power_max_rolling_mean_5,0.9286719999999999,0.537061,0.7328665
min_std_lag3,0.827883,0.537608,0.6827455
delta_power_max_lag1,0.966712,0.541283,0.7539975
wavelet_energy_3_std_lag1,0.623471,0.5418149999999999,0.582643
delta_power_std_rolling_mean_5,0.928717,0.541919,0.735318
alpha_relative_max_rolling_mean_5,0.842925,0.543461,0.693193
wavelet_energy_3_std,0.623433,0.544098,0.5837654999999999
theta_power_max_stability_5,0.825358,0.544816,0.685087
delta_power_max,0.966705,0.545438,0.7560715
wavelet_energy_0_mean_stability_5,0.968463,0.5455570000000001,0.75701
