feature,importance_score,stability_score,generalization_score,fn_score,master_score,rank
sample_entropy_mean_lag1,0.0047704204916954,0.717976,0.775433,0.276393,0.003389965529308097,23
perm_entropy_max,0.0042716027237474,0.6858568,0.7495970000000001,0.508962,0.003313831688128262,24
gamma_relative_std,0.0055779623799026,0.7311288,0.683753,0.185464,0.003305651662131091,25
zero_crossings_max_rolling_mean_5,0.0060764565132558,0.611804,0.673207,0.300109,0.0032538017926770123,26
mad_mean_rolling_mean_5,0.0044981371611356,0.6268678,0.7234959999999999,0.530546,0.003122418974885542,27
petrosian_fd_mean_rolling_mean_5,0.0036763253156095,0.6896370000000001,0.882725,0.394481,0.003120847279338787,28
gamma_relative_mean_rolling_mean_5,0.0052754860371351,0.726021,0.677524,0.192568,0.0030947067084240386,29
wavelet_energy_1_mean_rolling_mean_5,0.0051901335828006,0.6490584,0.565104,0.566011,0.0029811614754386767,30
petrosian_fd_mean,0.0034255252685397,0.694408,0.878412,0.377869,0.002879042529132199,31
line_length_max_rolling_mean_5,0.004704634193331,0.676058,0.585134,0.477596,0.002749925054428119,32
perm_entropy_mean_lag3,0.0034036911092698,0.6852773999999999,0.860027,0.328197,0.002664349112936025,33
higuchi_fd_std_lag1,0.0041079404763877,0.689726,0.798131,0.176175,0.0026597870252666085,34
gamma_relative_std_lag1,0.0045077982358634,0.7319674,0.683779,0.168962,0.002637377887891063,35
higuchi_fd_std_rolling_mean_5,0.0036265954840928,0.684066,0.794537,0.193005,0.002351546179520107,36
zero_crossings_max_lag1,0.004211276769638,0.6280586,0.683554,0.29082,0.002333739979599951,37
higuchi_fd_std_lag3,0.0035782561171799,0.687828,0.798182,0.169836,0.00229814901307767,38
perm_entropy_max_lag1,0.0029221661388874,0.68554,0.74961,0.51224,0.002270877968893929,39
higuchi_fd_std,0.0033540579024702,0.6871852,0.798102,0.182787,0.002175751516435233,40
higuchi_fd_max,0.0033795554190874,0.6926076,0.7036009999999999,0.217158,0.0020045654062282843,41
gamma_relative_std_rolling_mean_5,0.0034787368495017,0.7141502,0.679698,0.184809,0.0020006700751986394,42
sample_entropy_std_lag1,0.0031251006294041,0.7145678,0.7785569999999999,0.130984,0.00196632057333431,43
sample_entropy_std_rolling_mean_5,0.0030481854919344,0.7006514,0.778825,0.180109,0.0019629326195131054,44
petrosian_fd_mean_lag1,0.002272994024679,0.6952568,0.8784,0.381093,0.0019171619035337514,45
perm_entropy_mean_lag1,0.002344207605347,0.6840276000000001,0.860007,0.340437,0.001848494188146591,46
perm_entropy_mean_rolling_mean_5,0.002284922171384,0.68024,0.859448,0.377049,0.001839511796884944,47
theta_relative_mean_rolling_mean_5,0.0048403460532426,0.5527748,0.49888699999999997,0.369016,0.0018274073157173254,48
zero_crossings_std_rolling_mean_5,0.0032540163956582,0.6728212,0.6868179999999999,0.195082,0.0017970442774817642,49
beta_relative_std,0.0032159185502678,0.6897794,0.649589,0.225628,0.0017660890469171002,50
sample_entropy_std_lag3,0.0027922804001718,0.712179,0.778616,0.13612,0.0017591210295217043,51
zero_crossings_mean_lag1,0.0026791235432028,0.6919698,0.7629710000000001,0.223497,0.001730576577218715,52
alpha_relative_mean_rolling_mean_5,0.0022015443537384,0.6851434000000001,0.827943,0.35377,0.001690652077101855,53
higuchi_fd_max_rolling_mean_5,0.0026957329828292,0.6820374,0.684409,0.273169,0.0016020897061380663,54
beta_relative_mean,0.0027169093955308,0.7203204,0.669303,0.213224,0.0015891490576877634,55
zero_crossings_std_lag1,0.0028393638785928,0.6800908,0.695336,0.164754,0.0015639284441830753,56
theta_relative_mean,0.0034828558564186,0.5978028,0.563197,0.321257,0.0015493198306348913,57
wavelet_energy_5_std_lag1,0.0027404951397329,0.65575,0.599974,0.380055,0.0014879768034051903,58
perm_entropy_mean,0.0018565845675766,0.6850282,0.860007,0.340492,0.0014661871162381412,59
theta_relative_mean_lag1,0.0031252410262823,0.6113168,0.563192,0.324372,0.001425004760971502,60
beta_relative_mean_rolling_mean_5,0.0023097260855138,0.6973444,0.652765,0.221694,0.0012844792656215333,61
beta_relative_mean_lag1,0.0021941123995929,0.7197156,0.669311,0.206612,0.0012753089007007065,62
mad_mean_lag1,0.0017467498546466,0.6444474,0.718556,0.521093,0.0012303667315720296,63
wavelet_energy_5_std_lag3,0.0022637415677309,0.6531566,0.600034,0.36694,0.0012127449565098353,64
spectral_entropy_mean,0.0018248503329232,0.6978692,0.797829,0.175738,0.0011945976490279936,65
theta_relative_max_rolling_mean_5,0.0023850484285503,0.6494868,0.53102,0.444262,0.0011880217561041934,66
zero_crossings_std_lag3,0.0022038610186427,0.68086,0.6953860000000001,0.128579,0.0011776057878809087,67
iqr_mean_lag3,0.0016491316491737,0.647003,0.7216389999999999,0.504426,0.0011583837254854025,68
beta_relative_std_lag3,0.0020715475548058,0.6906926,0.649652,0.192787,0.0011087238440353252,69
zero_crossings_std,0.0018755187047645,0.6785864,0.695306,0.181202,0.0010452657059294521,70
wavelet_energy_5_max_rolling_mean_5,0.0018804828869178,0.6471288000000001,0.578696,0.411475,0.000993994049644176,71
mad_mean_lag3,0.0014183518942445,0.6465212,0.718559,0.503989,0.0009910004611635717,72
spectral_entropy_mean_rolling_mean_5,0.0014021743554621,0.6847074,0.784558,0.195847,0.0009007571436533887,73
wavelet_energy_5_max_lag1,0.0016802647151052,0.6418348,0.5924769999999999,0.384098,0.0008843807988980831,74
delta_relative_mean_rolling_mean_5,0.0014189509674906,0.5927888,0.840986,0.23612,0.0008744133456923365,75
spectral_entropy_max_rolling_mean_5,0.0016734839882701,0.6368148,0.6820820000000001,0.18765,0.0008632960849563289,76
beta_relative_max,0.001649533980526,0.675294,0.635552,0.208962,0.0008558898923318149,77
higuchi_fd_max_lag1,0.0014168670168146,0.6962862,0.703624,0.227049,0.0008517642902629754,78
wavelet_energy_5_max_lag3,0.0015246389666572,0.643503,0.592524,0.36776,0.0007951213882604771,79
delta_relative_mean_lag3,0.0010960008949041,0.6397632,0.873699,0.184262,0.0007255039758495595,80
zero_crossings_max,0.00128825311549,0.6274219999999999,0.683546,0.300765,0.0007186667185893698,81
wavelet_energy_5_max,0.0013539538485929,0.6425221999999999,0.5924130000000001,0.39071,0.0007167259953807214,82
iqr_mean_lag1,0.0010027934331446,0.6452234,0.721635,0.521093,0.0007102233510336832,83
delta_relative_max_rolling_mean_5,0.0011642399476841,0.6277778,0.72497,0.218415,0.0006456002991652617,84
delta_relative_mean,0.0009625804377719,0.6409824,0.8736619999999999,0.18377,0.0006381075927913439,85
higuchi_fd_max_lag3,0.0010328957578167,0.6946874000000001,0.7036720000000001,0.22694,0.0006194974330413934,86
spectral_entropy_max,0.0011403880780562,0.644118,0.683514,0.18847,0.0005966968457381787,87
delta_relative_std_rolling_mean_5,0.0011978436959907,0.6688982,0.584657,0.216066,0.0005696636115363007,88
zero_crossings_mean,0.0008242714102379,0.6906266,0.762941,0.223497,0.0005313826878302884,89
min_max_lag3,0.0008063762215897,0.6309886,0.631324,0.575464,0.0005060809724684229,90
spectral_entropy_max_lag1,0.0009416816174052,0.647728,0.683522,0.18153,0.0004925995541294419,91
beta_relative_std_lag1,0.0008944131550379,0.6897556,0.649607,0.215738,0.0004872188708694752,92
beta_relative_max_lag1,0.0009170416160486,0.6748186,0.635529,0.202186,0.0004728061621343056,93
min_max_lag1,0.0007025987724773,0.644847,0.631318,0.568634,0.000448677061079442,94
zero_crossings_mean_lag3,0.0006799657130613,0.6901818,0.762981,0.206885,0.000432145634103241,95
beta_relative_max_rolling_mean_5,0.0008243964402936,0.6397456,0.622968,0.225847,0.0004027591566749253,96
beta_relative_max_lag3,0.0007855717558413,0.6767076,0.6355500000000001,0.185956,0.00040068696493211395,97
theta_relative_mean_lag3,0.0007854177383705,0.6093846,0.56307,0.335902,0.0003600221070394172,98
spectral_entropy_max_lag3,0.0007007970707491,0.6463864,0.683585,0.149071,0.0003558146920314147,99
delta_relative_mean_lag1,0.0004293338570278,0.6367208,0.87371,0.180383,0.00028192554454831506,100
wavelet_energy_3_std,0.0,0.7352522,0.623433,0.542787,0.0,101
wavelet_energy_3_max,0.0,0.7318412,0.620717,0.545847,0.0,102
wavelet_energy_4_mean,0.0,0.7401166,0.7330479999999999,0.468798,0.0,103
wavelet_energy_4_std,0.0,0.7167986,0.7060299999999999,0.462623,0.0,104
wavelet_energy_4_max,0.0,0.7084518,0.706078,0.458634,0.0,105
wavelet_energy_5_mean,0.0,0.6987364,0.6336010000000001,0.393716,0.0,106
wavelet_energy_5_std,0.0,0.6549904,0.5999209999999999,0.386612,0.0,107
delta_power_mean,0.0,0.7383995999999999,0.951274,0.434918,0.0,108
delta_power_std,0.0,0.7702904,0.966429,0.389836,0.0,109
delta_power_max,0.0,0.7719032,0.966705,0.396776,0.0,110
theta_power_mean,0.0,0.6741927999999999,0.5768800000000001,0.566667,0.0,111
theta_power_std,0.0,0.7355510000000001,0.618617,0.575082,0.0,112
theta_power_max,0.0,0.7373524,0.621221,0.556557,0.0,113
alpha_power_mean,0.0,0.7705852,0.7206,0.593224,0.0,114
alpha_power_std,0.0,0.761994,0.762293,0.63224,0.0,115
alpha_power_max,0.0,0.7636212,0.747823,0.628962,0.0,116
beta_power_mean,0.0,0.7528168,0.5951649999999999,0.576448,0.0,117
beta_power_std,0.0,0.7536229999999999,0.592719,0.55929,0.0,118
beta_power_max,0.0,0.7416482,0.589306,0.556011,0.0,119
gamma_power_mean,0.0,0.767441,0.694422,0.48847,0.0,120
gamma_power_std,0.0,0.7559372,0.671629,0.469235,0.0,121
gamma_power_max,0.0,0.7431052,0.673673,0.479071,0.0,122
delta_relative_std,0.0,0.724411,0.672112,0.15,0.0,123
delta_relative_max,0.0,0.7148344,0.7741480000000001,0.116721,0.0,124
theta_relative_std,0.0,0.7912248,0.745671,0.188579,0.0,125
theta_relative_max,0.0,0.7247184,0.623958,0.287377,0.0,126
alpha_relative_mean,0.0,0.7210016,0.858495,0.206011,0.0,127
alpha_relative_std,0.0,0.766499,0.851038,0.055082,0.0,128
alpha_relative_max,0.0,0.7858416,0.902707,0.088689,0.0,129
gamma_relative_mean,0.0,0.7390802,0.682334,0.193005,0.0,130
mean_mean_lag1,0.0,0.945439,0.961462,0.08776,0.0,131
mean_mean_lag3,0.0,0.9481646,0.961524,0.094208,0.0,132
mean_std_lag1,0.0,0.861175,0.961025,0.386776,0.0,133
mean_std_lag3,0.0,0.8630758000000001,0.960913,0.349617,0.0,134
mean_max_lag1,0.0,0.8868462,0.957065,0.362459,0.0,135
mean_max_lag3,0.0,0.8880172,0.95704,0.312951,0.0,136
std_mean_lag1,0.0,0.709392,0.779177,0.533989,0.0,137
std_mean_lag3,0.0,0.7150376,0.779199,0.514372,0.0,138
std_std_lag1,0.0,0.8338833999999999,0.891729,0.459016,0.0,139
std_std_lag3,0.0,0.8334934,0.891823,0.426557,0.0,140
std_max_lag1,0.0,0.8195828000000001,0.826741,0.467104,0.0,141
std_max_lag3,0.0,0.8164758,0.826828,0.453934,0.0,142
variance_mean_lag1,0.0,0.7487642,0.794109,0.53071,0.0,143
variance_mean_lag3,0.0,0.7535776000000001,0.7941670000000001,0.514372,0.0,144
variance_std_lag1,0.0,0.8224438000000001,0.849187,0.473934,0.0,145
variance_std_lag3,0.0,0.8236256,0.849283,0.453497,0.0,146
variance_max_lag1,0.0,0.8164488,0.826741,0.467104,0.0,147
variance_max_lag3,0.0,0.8195433999999999,0.826828,0.453934,0.0,148
rms_mean_lag1,0.0,0.7140136,0.78043,0.533989,0.0,149
rms_mean_lag3,0.0,0.7111412,0.780446,0.514372,0.0,150
rms_std_lag1,0.0,0.8377108,0.89191,0.458962,0.0,151
rms_std_lag3,0.0,0.8355716,0.891994,0.426503,0.0,152
rms_max_lag1,0.0,0.8231348,0.8275,0.471257,0.0,153
rms_max_lag3,0.0,0.8179364,0.82759,0.453934,0.0,154
max_mean_lag1,0.0,0.7587414,0.806739,0.553661,0.0,155
max_mean_lag3,0.0,0.7616614,0.80675,0.524044,0.0,156
max_std_lag1,0.0,0.8377936,0.8472109999999999,0.363716,0.0,157
max_std_lag3,0.0,0.833921,0.84731,0.33623,0.0,158
max_max_lag1,0.0,0.833433,0.804775,0.450765,0.0,159
max_max_lag3,0.0,0.833834,0.804872,0.435301,0.0,160
min_mean_lag1,0.0,0.7353784,0.760113,0.560055,0.0,161
min_mean_lag3,0.0,0.7369802,0.760146,0.540273,0.0,162
min_std_lag1,0.0,0.8258548,0.8277829999999999,0.444262,0.0,163
min_std_lag3,0.0,0.8273438,0.827883,0.417978,0.0,164
ptp_mean_lag1,0.0,0.7465066,0.785343,0.56306,0.0,165
ptp_mean_lag3,0.0,0.749844,0.785372,0.53694,0.0,166
ptp_std_lag1,0.0,0.8296066,0.836672,0.440492,0.0,167
ptp_std_lag3,0.0,0.8300632,0.836841,0.414208,0.0,168
ptp_max_lag1,0.0,0.8266218000000001,0.7982210000000001,0.504372,0.0,169
ptp_max_lag3,0.0,0.8245288,0.798365,0.487322,0.0,170
line_length_mean_lag1,0.0,0.7504531999999999,0.638528,0.509836,0.0,171
line_length_mean_lag3,0.0,0.749893,0.638598,0.500109,0.0,172
line_length_std_lag1,0.0,0.7021113999999999,0.682021,0.403224,0.0,173
line_length_std_lag3,0.0,0.7010694,0.682063,0.393497,0.0,174
line_length_max_lag1,0.0,0.6800704,0.596373,0.441093,0.0,175
line_length_max_lag3,0.0,0.6803494,0.596434,0.431366,0.0,176
iqr_std_lag1,0.0,0.7794936,0.853326,0.561858,0.0,177
iqr_std_lag3,0.0,0.7813878,0.853403,0.535301,0.0,178
iqr_max_lag1,0.0,0.7540958,0.790864,0.552295,0.0,179
iqr_max_lag3,0.0,0.7513914,0.790871,0.532568,0.0,180
mad_std_lag1,0.0,0.7782332,0.849984,0.565301,0.0,181
mad_std_lag3,0.0,0.7769242000000001,0.850073,0.535683,0.0,182
mad_max_lag1,0.0,0.7554936,0.787772,0.545792,0.0,183
mad_max_lag3,0.0,0.7480158,0.787784,0.53153,0.0,184
sample_entropy_mean_lag3,0.0,0.7174822,0.7754300000000001,0.263388,0.0,185
sample_entropy_max_lag1,0.0,0.7178864,0.730665,0.368907,0.0,186
sample_entropy_max_lag3,0.0,0.7169492,0.7306889999999999,0.342514,0.0,187
perm_entropy_std_lag1,0.0,0.7392128,0.663667,0.149891,0.0,188
perm_entropy_std_lag3,0.0,0.7396042,0.663713,0.149781,0.0,189
spectral_entropy_mean_lag1,0.0,0.6991026,0.797826,0.172842,0.0,190
spectral_entropy_mean_lag3,0.0,0.6986626,0.797843,0.16071,0.0,191
spectral_entropy_std_lag1,0.0,0.748284,0.789461,0.165191,0.0,192
spectral_entropy_std_lag3,0.0,0.7495662,0.7895639999999999,0.119126,0.0,193
higuchi_fd_mean_lag1,0.0,0.7276842,0.8258030000000001,0.171311,0.0,194
higuchi_fd_mean_lag3,0.0,0.7262996,0.825815,0.124973,0.0,195
petrosian_fd_std_lag1,0.0,0.7595514,0.57978,0.119344,0.0,196
petrosian_fd_std_lag3,0.0,0.7603078,0.57978,0.103169,0.0,197
wavelet_energy_0_mean_lag1,0.0,0.7427168,0.887377,0.488251,0.0,198
wavelet_energy_0_mean_lag3,0.0,0.7467944,0.887464,0.481967,0.0,199
wavelet_energy_0_std_lag1,0.0,0.7874536,0.900946,0.421639,0.0,200
wavelet_energy_0_std_lag3,0.0,0.7869646,0.901003,0.411967,0.0,201
wavelet_energy_0_max_lag1,0.0,0.787143,0.901262,0.428852,0.0,202
wavelet_energy_0_max_lag3,0.0,0.7851638,0.901347,0.419126,0.0,203
wavelet_energy_1_mean_lag1,0.0,0.6687652,0.572728,0.563825,0.0,204
wavelet_energy_1_mean_lag3,0.0,0.6714982,0.572738,0.54929,0.0,205
wavelet_energy_1_std_lag1,0.0,0.7418321999999999,0.634269,0.594809,0.0,206
wavelet_energy_1_std_lag3,0.0,0.7401286,0.634325,0.571913,0.0,207
wavelet_energy_1_max_lag1,0.0,0.735227,0.634856,0.56459,0.0,208
wavelet_energy_1_max_lag3,0.0,0.7386026,0.634888,0.550656,0.0,209
wavelet_energy_2_mean_lag1,0.0,0.743634,0.5910150000000001,0.611475,0.0,210
wavelet_energy_2_mean_lag3,0.0,0.747449,0.5911310000000001,0.608033,0.0,211
wavelet_energy_2_std_lag1,0.0,0.7368554,0.6316930000000001,0.670874,0.0,212
wavelet_energy_2_std_lag3,0.0,0.7351484,0.6317630000000001,0.64459,0.0,213
wavelet_energy_2_max_lag1,0.0,0.7207,0.605362,0.661311,0.0,214
wavelet_energy_2_max_lag3,0.0,0.7169342,0.6054379999999999,0.635027,0.0,215
wavelet_energy_3_mean_lag1,0.0,0.739472,0.617328,0.569727,0.0,216
wavelet_energy_3_mean_lag3,0.0,0.7383122,0.617373,0.556557,0.0,217
wavelet_energy_3_std_lag1,0.0,0.736871,0.623471,0.536339,0.0,218
wavelet_energy_3_std_lag3,0.0,0.7368984000000001,0.623562,0.529836,0.0,219
wavelet_energy_3_max_lag1,0.0,0.7311256,0.620742,0.539672,0.0,220
wavelet_energy_3_max_lag3,0.0,0.7337652,0.6208359999999999,0.523333,0.0,221
wavelet_energy_4_mean_lag1,0.0,0.7403676,0.733058,0.465902,0.0,222
wavelet_energy_4_mean_lag3,0.0,0.7410142,0.7331829999999999,0.459508,0.0,223
wavelet_energy_4_std_lag1,0.0,0.7144752,0.7060660000000001,0.456066,0.0,224
wavelet_energy_4_std_lag3,0.0,0.7149364,0.706248,0.453005,0.0,225
wavelet_energy_4_max_lag3,0.0,0.7067650000000001,0.706296,0.449781,0.0,226
wavelet_energy_5_mean_lag1,0.0,0.7007302,0.633649,0.389617,0.0,227
wavelet_energy_5_mean_lag3,0.0,0.6993364,0.633745,0.389836,0.0,228
delta_power_mean_lag1,0.0,0.7344516,0.951261,0.434973,0.0,229
delta_power_mean_lag3,0.0,0.7394496,0.951312,0.432623,0.0,230
delta_power_std_lag1,0.0,0.7720507999999999,0.966435,0.393279,0.0,231
delta_power_std_lag3,0.0,0.769754,0.966474,0.386667,0.0,232
delta_power_max_lag1,0.0,0.7703738,0.966712,0.406776,0.0,233
delta_power_max_lag3,0.0,0.7719944,0.966771,0.400164,0.0,234
theta_power_mean_lag1,0.0,0.6715366,0.576886,0.573224,0.0,235
theta_power_mean_lag3,0.0,0.6724076,0.576919,0.560219,0.0,236
theta_power_std_lag1,0.0,0.7355864,0.618661,0.569399,0.0,237
theta_power_std_lag3,0.0,0.7395752,0.618708,0.554372,0.0,238
theta_power_max_lag1,0.0,0.7339744,0.6212409999999999,0.556448,0.0,239
theta_power_max_lag3,0.0,0.7331936,0.621273,0.536503,0.0,240
alpha_power_mean_lag1,0.0,0.7705208,0.7206170000000001,0.598962,0.0,241
alpha_power_mean_lag3,0.0,0.7704168,0.720758,0.592514,0.0,242
alpha_power_std_lag1,0.0,0.7653814,0.762312,0.632186,0.0,243
alpha_power_std_lag3,0.0,0.7681754,0.7623610000000001,0.612131,0.0,244
alpha_power_max_lag1,0.0,0.7570336,0.7478480000000001,0.632186,0.0,245
alpha_power_max_lag3,0.0,0.7578738,0.747897,0.612514,0.0,246
beta_power_mean_lag1,0.0,0.7516876,0.595189,0.573115,0.0,247
beta_power_mean_lag3,0.0,0.7533506,0.595225,0.546831,0.0,248
beta_power_std_lag1,0.0,0.75275,0.5927549999999999,0.552732,0.0,249
beta_power_std_lag3,0.0,0.7520232,0.592781,0.529781,0.0,250
beta_power_max_lag1,0.0,0.7442148,0.589286,0.549781,0.0,251
beta_power_max_lag3,0.0,0.7445826,0.58928,0.526831,0.0,252
gamma_power_mean_lag1,0.0,0.764721,0.694484,0.481967,0.0,253
gamma_power_mean_lag3,0.0,0.7644316,0.694561,0.469126,0.0,254
gamma_power_std_lag1,0.0,0.7489562,0.671673,0.462678,0.0,255
gamma_power_std_lag3,0.0,0.7575396,0.6717409999999999,0.446393,0.0,256
gamma_power_max_lag1,0.0,0.7423526,0.673716,0.472514,0.0,257
gamma_power_max_lag3,0.0,0.7403592,0.6738040000000001,0.45623,0.0,258
delta_power_max_stability_5,0.0,0.8485658,0.9278649999999999,0.325027,0.0,259
ptp_std,0.0,0.8280812,0.8366560000000001,0.457049,0.0,260
delta_relative_std_lag1,0.0,0.7265686,0.6721539999999999,0.16306,0.0,261
delta_relative_std_lag3,0.0,0.7250756,0.672148,0.20929,0.0,262
delta_relative_max_lag1,0.0,0.7139702,0.774184,0.113169,0.0,263
delta_relative_max_lag3,0.0,0.717448,0.774204,0.136175,0.0,264
theta_relative_mean_stability_5,0.0,0.9133108,0.92554,0.18224,0.0,265
delta_relative_max_stability_5,0.0,0.8063464,0.95986,0.058197,0.0,266
theta_relative_std_lag1,0.0,0.7832222,0.745656,0.201749,0.0,267
theta_relative_std_lag3,0.0,0.7854298,0.745546,0.208087,0.0,268
theta_relative_max_lag1,0.0,0.7282611999999999,0.623955,0.300546,0.0,269
theta_relative_max_lag3,0.0,0.7322004,0.62388,0.313661,0.0,270
alpha_relative_mean_lag1,0.0,0.724271,0.8584849999999999,0.215847,0.0,271
alpha_relative_mean_lag3,0.0,0.7207863999999999,0.858482,0.242295,0.0,272
alpha_relative_std_lag1,0.0,0.7682694,0.851021,0.038579,0.0,273
alpha_relative_std_lag3,0.0,0.7663962,0.851106,0.050984,0.0,274
alpha_relative_max_lag1,0.0,0.7846056,0.902675,0.089071,0.0,275
alpha_relative_max_lag3,0.0,0.7846728000000001,0.902737,0.12541,0.0,276
mean_max,0.0,0.8850932,0.95708,0.378852,0.0,277
beta_relative_mean_lag3,0.0,0.7190314,0.6693089999999999,0.200055,0.0,278
theta_power_mean_stability_5,0.0,0.8154138,0.799335,0.537322,0.0,279
theta_power_std_stability_5,0.0,0.8456694,0.823087,0.508634,0.0,280
theta_power_max_stability_5,0.0,0.848786,0.825358,0.492951,0.0,281
alpha_power_mean_stability_5,0.0,0.8661136,0.909755,0.551967,0.0,282
gamma_relative_mean_lag1,0.0,0.7374354000000001,0.682336,0.19306,0.0,283
gamma_relative_mean_lag3,0.0,0.7378354,0.682365,0.160328,0.0,284
alpha_power_std_stability_5,0.0,0.8277212,0.891002,0.575191,0.0,285
gamma_relative_std_lag3,0.0,0.7345864,0.683837,0.132951,0.0,286
gamma_relative_max_lag1,0.0,0.7323402,0.682952,0.175956,0.0,287
gamma_relative_max_lag3,0.0,0.7328778,0.6830149999999999,0.143224,0.0,288
mean_mean_rolling_mean_5,0.0,0.9481902,0.95582,0.145464,0.0,289
mean_std_rolling_mean_5,0.0,0.8408370000000001,0.938124,0.440546,0.0,290
mean_max_rolling_mean_5,0.0,0.8565088000000001,0.932605,0.430219,0.0,291
std_mean_rolling_mean_5,0.0,0.7032366,0.790287,0.550219,0.0,292
std_std_rolling_mean_5,0.0,0.8270778,0.895748,0.520219,0.0,293
std_max_rolling_mean_5,0.0,0.8087008,0.837541,0.510219,0.0,294
variance_mean_rolling_mean_5,0.0,0.748732,0.815847,0.550328,0.0,295
variance_std_rolling_mean_5,0.0,0.8234710000000001,0.863286,0.543279,0.0,296
variance_max_rolling_mean_5,0.0,0.8180917999999999,0.845206,0.512842,0.0,297
rms_mean_rolling_mean_5,0.0,0.699837,0.791347,0.553333,0.0,298
rms_std_rolling_mean_5,0.0,0.826728,0.895706,0.526776,0.0,299
rms_max_rolling_mean_5,0.0,0.8115732,0.838017,0.516776,0.0,300
max_mean_rolling_mean_5,0.0,0.7630866000000001,0.82234,0.583005,0.0,301
max_std_rolling_mean_5,0.0,0.8255566,0.83556,0.427432,0.0,302
max_max_rolling_mean_5,0.0,0.828547,0.7914950000000001,0.56918,0.0,303
min_mean_rolling_mean_5,0.0,0.7339352,0.778233,0.569344,0.0,304
min_std_rolling_mean_5,0.0,0.8172066,0.835631,0.537158,0.0,305
alpha_power_max_stability_5,0.0,0.8303188,0.892031,0.588689,0.0,306
ptp_mean_rolling_mean_5,0.0,0.7445155999999999,0.801852,0.573661,0.0,307
ptp_std_rolling_mean_5,0.0,0.8254162,0.839488,0.523224,0.0,308
ptp_max_rolling_mean_5,0.0,0.8198244,0.791743,0.576667,0.0,309
line_length_mean_rolling_mean_5,0.0,0.7472762000000001,0.634234,0.533169,0.0,310
line_length_std_rolling_mean_5,0.0,0.6976698,0.6656329999999999,0.419399,0.0,311
beta_power_mean_stability_5,0.0,0.8537292000000001,0.77727,0.428907,0.0,312
beta_power_std_stability_5,0.0,0.827877,0.7222999999999999,0.415191,0.0,313
beta_power_max_stability_5,0.0,0.8142004,0.703137,0.393169,0.0,314
gamma_power_mean_stability_5,0.0,0.8015954,0.755148,0.371202,0.0,315
gamma_power_std_stability_5,0.0,0.7910771999999999,0.7066790000000001,0.358689,0.0,316
iqr_std_rolling_mean_5,0.0,0.767945,0.8520449999999999,0.594481,0.0,317
iqr_max_rolling_mean_5,0.0,0.7400316,0.79016,0.587541,0.0,318
gamma_power_max_stability_5,0.0,0.7803776,0.699703,0.369016,0.0,319
mad_std_rolling_mean_5,0.0,0.7673836,0.8478140000000001,0.591038,0.0,320
mad_max_rolling_mean_5,0.0,0.7402742,0.787092,0.584044,0.0,321
delta_relative_mean_stability_5,0.0,0.8894942,0.871055,0.095574,0.0,322
delta_relative_std_stability_5,0.0,0.8436748000000001,0.867947,0.089727,0.0,323
sample_entropy_max_rolling_mean_5,0.0,0.7020064,0.7175309999999999,0.394699,0.0,324
remaining_time_fraction,0.0,0.9943442,0.99914,0.146667,0.0,325
