feature,mean_rank,rank_std,mean_importance,importance_std,top_20_frequency
spectral_entropy_mean_lag3,125.4,49.568538408954524,0.003482591,0.0015030187,0.0
beta_relative_max_lag1,125.6,46.957853443274004,0.0033937525,0.0012160976,0.0
delta_power_mean_lag1__rel,126.0,51.0215640685387,0.0033819848,0.0013515129,0.0
petrosian_fd_std_lag1__rel,126.2,35.2272621700864,0.00332243,0.0009544944,0.0
beta_relative_std_lag1,126.2,45.36694832143771,0.0033786087,0.0011322421,0.0
variance_std_lag3__rel,126.4,50.88260999595048,0.0034625805,0.0013540532,0.0
beta_relative_std,126.6,19.80504986108341,0.0032790068,0.0005052285,0.0
beta_relative_max__rel,127.0,52.52808772456884,0.0035100374,0.0017074115,0.0
beta_relative_max_lag3,127.8,37.828031934003654,0.0032546301,0.0009907633,0.0
min_max_lag3__rel,130.0,20.32732151563506,0.0031643386,0.000593052,0.0
spectral_entropy_mean__rel,130.4,57.06697819229611,0.0038345132,0.0025516185,0.2
rms_max_lag1__rel,130.6,57.915800952762446,0.0030486688,0.001746197,0.0
wavelet_energy_5_mean_lag1__rel,131.0,47.32018596751285,0.0032406491,0.001297557,0.0
delta_power_mean__rel,131.4,35.847454581880704,0.0032148145,0.0009185695,0.0
spectral_entropy_std_lag3__rel,132.0,72.85053191295174,0.003967046,0.0031558208,0.2
sample_entropy_mean_lag3,133.4,45.37223820796149,0.0031603936,0.0012020444,0.0
beta_relative_std_lag1__rel,134.0,72.20249303175063,0.002927246,0.0025785312,0.0
mean_std_lag3__rel,134.4,48.72617366467431,0.0033169524,0.0016145814,0.0
perm_entropy_max_lag1__rel,134.6,44.724042751075174,0.0031559295,0.0012211107,0.0
gamma_power_max__rel,134.8,41.27662776923522,0.00314687,0.0011002744,0.0
gamma_relative_std_rolling_mean_5__rel,134.8,39.806532127277805,0.003201882,0.00097520556,0.0
wavelet_energy_0_mean_rolling_mean_5__rel,135.0,33.244548425268164,0.0031092549,0.0008063294,0.0
ptp_mean_lag3__rel,136.4,68.57871389870184,0.003046953,0.002520098,0.0
theta_relative_mean_lag3__rel,138.2,42.31973534888894,0.003006992,0.0012061232,0.0
alpha_relative_max,138.8,20.778835386036437,0.0029311301,0.00059154764,0.0
