threshold,precision,recall,specificity,f1,balanced_accuracy
0.6,0.23203831825439064,0.19232465813850905,0.9957368990150257,0.2103232030873131,0.5940307785767673
0.61,0.23539049699617695,0.1901191001323335,0.9958639352883133,0.21034651049292338,0.5929915177103234
0.62,0.240314430095452,0.18879576532862816,0.9960027888893485,0.2114624505928854,0.5923992771089883
0.63,0.2454022988505747,0.18835465372739302,0.9961209621668252,0.21312702770152234,0.5922378079471091
0.64,0.2508813160987074,0.18835465372739302,0.9962332267804281,0.21516754850088182,0.5922939402539106
0.65,0.25510204081632654,0.1874724305249228,0.9963336740662834,0.21612001017035343,0.591903052295603
0.66,0.2614622057001239,0.18614909572121746,0.9964784363311924,0.21746972429786138,0.5913137660262049
0.67,0.26832377310388783,0.18570798411998235,0.9966084269364168,0.21949947862356622,0.5911582055281996
0.68,0.2707652060170046,0.18262020291133657,0.9967059198903352,0.21812434141201267,0.5896630614008359
0.6900000000000001,0.2740189445196211,0.17865019850022057,0.9968300018316858,0.2162883845126836,0.5877401001659532
0.7000000000000001,0.28098591549295776,0.17600352889280987,0.9969836270924056,0.21643612693246544,0.5864935779926077
0.7100000000000001,0.28737300435413643,0.17468019408910454,0.9970988460379454,0.21728395061728392,0.585889520063525
0.72,0.28794642857142855,0.17071018967798854,0.9971727043363684,0.21434505677097757,0.5839414470071784
0.73,0.28921193573068094,0.1667401852668725,0.9972554256306021,0.2115277000559597,0.5819978054487374
0.74,0.29337539432176657,0.16409351565946184,0.9973529185845205,0.21046676096181047,0.5807232171219912
0.75,0.29707792207792205,0.16144684605205117,0.997441548542628,0.20920262932266362,0.5794441972973396
0.76,0.30209205020920504,0.15924128804587562,0.9975360871646095,0.20854997111496248,0.5783886876052425
0.77,0.30749354005167956,0.15747684164093514,0.997624717122717,0.2082847141190198,0.5775507793818261
0.78,0.3122775800711744,0.15483017203352448,0.9977163014127616,0.2070185785903863,0.576273236723143
0.79,0.3182656826568266,0.1521835024261138,0.9978167486986168,0.20590868397493287,0.5750001255623653
0.8,0.3256484149855908,0.14953683281870314,0.9979260589802827,0.2049576783555018,0.573731445899493
0.81,0.3346774193548387,0.14644905161005733,0.9980501409216334,0.20374347959496777,0.5722495962658454
0.8200000000000001,0.34407484407484407,0.14600794000882222,0.998135816547804,0.20501703313719416,0.5720718782783132
0.8300000000000001,0.3540983606557377,0.14292015880017644,0.9982539898252808,0.20364550597108735,0.5705870743127286
0.8400000000000001,0.3625,0.1407146007940009,0.9983426197833883,0.20273276136002547,0.5695286102886946
0.85,0.3715976331360947,0.13850904278782533,0.998431249741496,0.20179948586118251,0.5684701462646606
0.86,0.37670384138785623,0.1340979267754742,0.9985139710357297,0.1977878985035784,0.5663059489056019
0.87,0.3851261620185923,0.12792236435818263,0.9986321443132065,0.19205298013245034,0.5632772543356945
0.88,0.3980309423347398,0.12483458314953683,0.9987355459309987,0.19006044325050367,0.5617850645402678
0.89,0.40916030534351144,0.11821790913101014,0.9988566735404123,0.1834360027378508,0.5585372913357112
0.9,0.42787682333873583,0.1164534627260697,0.9989571208262675,0.18307905686546466,0.5577052917761686
0.91,0.44112478031634444,0.11071901191001324,0.9990605224440597,0.1770098730606488,0.5548897671770365
0.92,0.46360153256704983,0.10674900749889722,0.9991727870576627,0.17353890283255646,0.5529608972782799
0.93,0.4861407249466951,0.10057344508160565,0.9992880060032024,0.16666666666666666,0.5499307255424041
0.9400000000000001,0.5034965034965035,0.0952801058667843,0.9993707272974363,0.16023738872403562,0.5473254165821103
0.9500000000000001,0.5291005291005291,0.08822232024702249,0.9994741289152284,0.15122873345935728,0.5438482245811255
0.9600000000000001,0.5628930817610063,0.07895897662108513,0.9995893478607683,0.13849129593810444,0.5392741622409267
0.97,0.6168582375478927,0.07101896779885311,0.999704566806308,0.127373417721519,0.5353617673025806
0.98,0.6633165829145728,0.05822673136303485,0.9998020597602264,0.10705596107055962,0.5290143955616307
0.99,0.7758620689655172,0.03970004411116013,0.9999231873696401,0.0755350398657155,0.5198116157404001
