feature,ks_statistic,p_value,tp_mean,fp_mean,divergence_score
f103_mean,0.3195035989079176,5.1728630134598726e-05,5.0498336349846795e-05,3.56815435225144e-05,1.4816792827332392e-05
f80_q25,0.3193149664929263,5.23705942528473e-05,2.0724671978555875e-10,1.8692936087916223e-10,2.031735890639652e-11
f133_q50,0.31922561429635143,5.269616499455731e-05,0.00033593017724342644,0.0002511378552298993,8.479232201352715e-05
f15_q75,0.31908662199056836,5.318542565214228e-05,-0.00016285669698845595,-0.00012661583605222404,3.624086093623191e-05
f143_q25,0.3189079175974187,5.383340832971973e-05,0.023627499118447304,0.016879167407751083,0.00674833171069622
f76_q25,0.3188979895755771,5.384066755948212e-05,7.421239317517703e-11,7.433872961648547e-11,1.263364413084389e-13
f30_mean,0.31858029287664436,5.5016823594412494e-05,3.136956365779042e-05,2.06208187591983e-05,1.0748744898592122e-05
f18_q75,0.31858029287664436,5.5016823594412494e-05,0.00041379209142178297,0.0002832415630109608,0.00013055052841082215
f302_q25,0.31830230826507816,5.603902748641065e-05,0.0003764313005376607,0.0003108766977675259,6.55546027701348e-05
f382_q25,0.31830230826507816,5.603902748641065e-05,0.037339501082897186,0.03902499005198479,0.0016854889690876007
f451_q75,0.31827252419955326,5.6068680115660085e-05,5.569691374773811e-10,3.4696037709558425e-10,2.1000876038179683e-10
f216_q25,0.31821295606850336,5.638626573531939e-05,1.6093405008632544e-07,1.6717720541237213e-07,6.24315532604669e-09
f421_q25,0.3180739637627203,5.690795334231629e-05,0.00991079118102789,0.01447958592325449,0.004568794742226601
f20_q75,0.3180739637627203,5.690795334231629e-05,0.0009101075120270252,0.0006240798975341022,0.000286027614492923
f119_q75,0.318024323653512,5.707895827641553e-05,0.00011830068979179487,8.354375313501805e-05,3.4756936656776816e-05
f115_mean,0.31798461156614544,5.725663477955262e-05,5.0761649617925286e-05,3.587512401281856e-05,1.4886525605106726e-05
f28_q50,0.31779597915115415,5.796342162118068e-05,2.8505310183390975e-05,2.136138573405333e-05,7.143924449337646e-06
f80_q50,0.3176569868453711,5.8497803561713384e-05,3.1203173378457905e-10,2.2596628734827817e-10,8.606544643630087e-11
f110_q25,0.31742864234301316,5.940336008103498e-05,3.7641423311640665e-09,2.848081770423505e-09,9.160605607405614e-10
f286_q75,0.3172896500372301,5.995039406938776e-05,0.21355655789375305,0.1505444198846817,0.06301213800907135
f128_q75,0.3172499379498635,6.012873487772466e-05,0.0001149040981545113,7.492516306228936e-05,3.9978935092221946e-05
f129_q50,0.3172400099280218,6.013219514271562e-05,8.336661267094314e-05,6.55125841149129e-05,1.7854028556030244e-05
f93_q25,0.3172400099280218,6.013219514271562e-05,0.040666475892066956,0.0399397537112236,0.0007267221808433533
f135_q25,0.317150657731447,6.05021236485071e-05,0.00013088715786579996,0.00011627688218140975,1.4610275684390217e-05
f12_q50,0.31706130553487216,6.087677902759566e-05,0.0001868637918960303,0.00013839325401932,4.8470537876710296e-05
f79_q75,0.3167336808140978,6.218955563357658e-05,1.5722213808633256e-10,7.740456192673051e-11,7.981757615960205e-11
f295_q25,0.31664432861752295,6.257146173788844e-05,3.83942166948259e-09,2.9361568731900434e-09,9.032647962925466e-10
f20_mean,0.31664432861752295,6.257146173788844e-05,0.0008015533094294369,0.0005913372151553631,0.00021021609427407384
f132_q75,0.31664432861752295,6.257146173788844e-05,0.00039574436959810555,0.00027676852187141776,0.00011897584772668779
f4_q25,0.3165053363117399,6.314637712472502e-05,2.2922213247511536e-05,1.9382698155823164e-05,3.539515091688372e-06
f431_mean,0.31637627202779844,6.371850513654765e-05,0.0010461659403517842,0.0008493432542309165,0.00019682268612086773
f228_q75,0.31632663191859023,6.392611087711252e-05,9.671333733862753e-10,5.173848016681859e-10,4.4974857171808935e-10
f124_q75,0.3162372797220154,6.430985665565261e-05,0.0004964869003742933,0.00034848478389903903,0.0001480021164752543
f6_mean,0.3159990071978158,6.530130186085342e-05,5.506638700580879e-09,3.304757356659138e-09,2.201881343921741e-09
f104_q50,0.315909655001241,6.570430235875302e-05,2.6361800337326713e-05,1.9538063497748226e-05,6.823736839578487e-06
f390_q50,0.315740878629933,6.634291262148566e-05,1.4197251152481272e-09,1.0430163399632875e-09,3.767087752848397e-10
f157_q50,0.31545296599652517,6.773442748081442e-05,2.816574487951584e-05,1.8778129742713645e-05,9.387615136802197e-06
f287_mean,0.31540332588731695,6.794184724216455e-05,0.16118372976779938,0.13567684590816498,0.0255068838596344
f382_q50,0.3152643335815339,6.85630983738272e-05,0.044571276754140854,0.04053874686360359,0.004032529890537262
f432_q50,0.3151849094068007,6.88815441640894e-05,1.545040845485346e-06,9.679299637355143e-07,5.771108817498316e-07
f18_q50,0.31517498138495903,6.898376302216857e-05,0.0003709211596287787,0.0002709799155127257,9.994124411605299e-05
f22_q25,0.31517498138495903,6.898376302216857e-05,0.006058520171791315,0.003871508873999119,0.0021870112977921963
f3_q75,0.31509555721022586,6.924467463669165e-05,6.198658229550347e-05,4.0724971768213436e-05,2.126161052729003e-05
f476_q25,0.3149962769918094,6.980427364655362e-05,0.03644062578678131,0.06397686898708344,0.027536243200302124
f382_mean,0.3147580044676098,7.089272416109078e-05,0.04572921618819237,0.04064209759235382,0.005087118595838547
f125_mean,0.31461901216182675,7.15394342469958e-05,0.0003992518759332597,0.000311736628646031,8.75152472872287e-05
f78_q75,0.31461901216182675,7.15394342469958e-05,1.356368906080263e-10,8.006887514122596e-11,5.5568015466800347e-11
f400_mean,0.31457930007446017,7.175603205612748e-05,2.8946820748387836e-05,1.8411146811558865e-05,1.0535673936828971e-05
f140_q50,0.3145495160089352,7.17577665349745e-05,0.006764841265976429,0.003953758627176285,0.002811082638800144
f7_q25,0.3144800198560437,7.219215612959114e-05,3.7960266041636714e-09,3.0979172560563484e-09,6.981093481073231e-10
f387_q75,0.31445023579051873,7.226913334480236e-05,1.1427461686253082e-05,7.667363206564914e-06,3.7600984796881676e-06
f9_q75,0.31426160337552744,7.325016264251997e-05,6.247631972655654e-05,4.0959304897114635e-05,2.1517014829441905e-05
f125_q25,0.31425167535368576,7.329723164379098e-05,0.00033674060250632465,0.0002940265985671431,4.2714003939181566e-05
f110_q75,0.31425167535368576,7.329723164379098e-05,6.710608513316174e-09,3.581487995063526e-09,3.1291205182526483e-09
f434_mean,0.3140332588731695,7.433054069930024e-05,7.663616997888312e-06,5.431198587757535e-06,2.2324184101307765e-06
f157_q75,0.31383469843633655,7.531872105747282e-05,3.11614821839612e-05,1.966076706594322e-05,1.1500715118017979e-05
f121_q50,0.3135170017374038,7.693575148729785e-05,0.00017050128371920437,0.00012873380910605192,4.1767474613152444e-05
f260_q50,0.3132985852568876,7.797059693178968e-05,0.21551387012004852,0.23399285972118378,0.018478989601135254
f143_q50,0.31310995284189624,7.901753376705294e-05,0.02786194533109665,0.01781560108065605,0.010046344250440598
f40_q75,0.31302060064532145,7.944102068417486e-05,0.12028700858354568,0.09643953293561935,0.02384747564792633
f377_q75,0.31301067262347976,7.953387304434164e-05,0.2842262089252472,0.22777140140533447,0.05645480751991272
f329_q75,0.3129312484487466,7.985440652650728e-05,0.78728187084198,0.7170145511627197,0.07026731967926025
f448_mean,0.31284189625217174,8.028663614314556e-05,8.384701999375466e-08,5.1313826077148406e-08,3.253319391660625e-08
f212_q50,0.31282204020848847,8.049289349996312e-05,2.7864703611157893e-07,1.8871755003146973e-07,8.99294860801092e-08
f4_q50,0.31282204020848847,8.049289349996312e-05,2.730532105488237e-05,2.0548770407913253e-05,6.756550646969117e-06
f284_mean,0.3127326880119136,8.098292841033196e-05,0.047624584287405014,0.04036175459623337,0.007262829691171646
f93_q75,0.31259369570613055,8.17164785698216e-05,0.06966063380241394,0.04850846156477928,0.02115217223763466
f121_mean,0.31250434350955575,8.221494629458767e-05,0.00017148899496532977,0.00012871797662228346,4.277101834304631e-05
f120_q75,0.3123653512037726,8.295964003502468e-05,0.0001981492096092552,0.00014160751015879214,5.6541699450463057e-05
f382_q75,0.31222635889798955,8.371016805583667e-05,0.053924549371004105,0.042185552418231964,0.01173899695277214
f109_mean,0.31213700670141475,8.421865860666958e-05,4.811266940407677e-09,2.8424624876066673e-09,1.9688044528010096e-09
f125_q50,0.3120873665922065,8.446707958786625e-05,0.0003945317876059562,0.0003117751330137253,8.275665459223092e-05
f104_q75,0.3120873665922065,8.446707958786625e-05,3.136285886284895e-05,2.08638211915968e-05,1.0499037671252154e-05
f93_q50,0.31203772648299827,8.472233340859696e-05,0.05425829812884331,0.04379179701209068,0.010466501116752625
f192_q75,0.31196823033010673,8.500199103022354e-05,5.797169706056593e-06,2.8722552087856457e-06,2.9249144972709473e-06
f9_mean,0.3119483742864234,8.523100284865916e-05,5.6565881095593795e-05,3.9252710848813877e-05,1.731317024677992e-05
f223_q25,0.3116306775874907,8.704892198115924e-05,7.166507032252412e-08,1.2294782436583773e-07,5.1282754043313616e-08
f287_q75,0.3114916852817076,8.783594121546116e-05,0.19879035651683807,0.14688023924827576,0.05191011726856232
f261_q50,0.31135269297592455,8.862870753809383e-05,0.20701417326927185,0.22441266477108002,0.017398491501808167
f230_q75,0.3112633407793497,8.916280950641824e-05,1.1981335923394454e-09,6.702181587492362e-10,5.279154335902092e-10
f273_mean,0.3112236286919831,8.937146121292164e-05,0.07437241822481155,0.06241605803370476,0.011956360191106796
f393_q75,0.3111342764954083,8.984042703697969e-05,1.1608895874815062e-05,7.686914614168927e-06,3.921981260646135e-06
f116_q50,0.31093571605857534,9.104661410167329e-05,2.657650111359544e-05,1.9695284208864905e-05,6.881216904730536e-06
f3_mean,0.31093571605857534,9.104661410167329e-05,5.613693792838603e-05,3.9017631934257224e-05,1.711930599412881e-05
f10_q25,0.3107073715562174,9.242317784521056e-05,2.3087277440936305e-05,1.9546403564163484e-05,3.540873876772821e-06
f95_q50,0.3107073715562174,9.242317784521056e-05,0.17306438088417053,0.14243225753307343,0.030632123351097107
f285_q50,0.3107073715562174,9.242317784521056e-05,0.04176970198750496,0.039118506014347076,0.0026511959731578827
f271_q25,0.3106180193596426,9.29817690614685e-05,0.07193419337272644,0.05338449031114578,0.018549703061580658
f143_q75,0.3104790270538595,9.381941951947555e-05,0.033499348908662796,0.018873704597353935,0.01462564431130886
f106_q25,0.3104790270538595,9.381941951947555e-05,0.00010112332529388368,7.995545456651598e-05,2.11678707273677e-05
f29_mean,0.3102903946388682,9.494061633305558e-05,0.00013421339099295437,9.842913277680054e-05,3.578425821615383e-05
f7_q50,0.3102903946388682,9.494061633305558e-05,5.120261992175301e-09,3.4483169653043433e-09,1.671945026870958e-09
f464_q50,0.3102903946388682,9.494061633305558e-05,1.5778593709381283e-10,1.228627338756283e-10,3.492320321818454e-11
f103_q25,0.3100620501365103,9.637100369019748e-05,4.496674955589697e-05,3.4093420254066586e-05,1.0873329301830381e-05
f118_q75,0.31001241002730207,9.666038410162385e-05,0.00013191066682338715,9.049338405020535e-05,4.1417282773181796e-05
f127_mean,0.3099726979399355,9.695386741277795e-05,-0.00016695052909199148,-0.000122318189824,4.463233926799148e-05
f329_q50,0.3099726979399355,9.695386741277795e-05,0.7659856677055359,0.7127531170845032,0.053232550621032715
f110_q50,0.3098337056341524,9.78242316470042e-05,5.02474684083154e-09,3.1824651802736525e-09,1.8422816605578873e-09
f126_q75,0.3098337056341524,9.78242316470042e-05,-0.00015832333883736283,-0.00012374608195386827,3.4577256883494556e-05
f223_q50,0.30974435343757756,9.841076959302426e-05,1.1186091342096915e-07,1.4054099040095025e-07,2.8680076979981095e-08
f135_q50,0.30969471332836934,9.87013743319506e-05,0.00015886474284343421,0.00012387493916321546,3.4989803680218756e-05
f32_q50,0.30969471332836934,9.87013743319506e-05,6.464698526542634e-05,4.7481800720561296e-05,1.7165184544865042e-05
f383_q50,0.30969471332836934,9.87013743319506e-05,0.16231434047222137,0.13872390985488892,0.02359043061733246
f115_q25,0.30955572102258627,9.958594698542132e-05,4.519360663834959e-05,3.4286087611690164e-05,1.0907519026659429e-05
f151_q25,0.3091883842144453,0.00010198975328174124,5.064050856162794e-05,3.6391087633091956e-05,1.4249420928535983e-05
f14_q25,0.3090990320178704,0.00010260303930565902,0.0003895999398082495,0.00031925630173645914,7.034363807179034e-05
f354_q75,0.30901960784313726,0.00010298999656800207,8.669151507767481e-10,4.727855884567589e-10,3.941295623199892e-10
f157_q25,0.3090096798212956,0.00010320828214097923,2.503163159417454e-05,1.79505004780367e-05,7.08113111613784e-06
f133_mean,0.30896003971208735,0.00010352239191720803,0.000338439509505406,0.00025103616644628346,8.740334305912256e-05
f329_mean,0.30896003971208735,0.00010352239191720803,0.7657150626182556,0.7128173112869263,0.052897751331329346
f104_mean,0.3088210474063043,0.00010444838594128438,2.727249011513777e-05,1.962389433174394e-05,7.64859578339383e-06
f143_mean,0.3087416232315711,0.00010489748936361931,0.0293743796646595,0.017930826172232628,0.011443553492426872
f133_q25,0.30854306279473814,0.00010632265935722658,0.00029678273131139576,0.0002401744422968477,5.660828901454806e-05
f31_mean,0.30854306279473814,0.00010632265935722658,1.4745043699804228e-05,1.0413835298095364e-05,4.331208401708864e-06
f112_q25,0.3084537105981633,0.00010696238700234461,1.4673569026513178e-08,1.0718367526862949e-08,3.955201499650229e-09
f383_mean,0.30817572598659715,0.00010887988734309177,0.16652223467826843,0.13892897963523865,0.027593255043029785
f27_mean,0.3079473814842393,0.00011051028411424406,6.34019888821058e-05,4.1857638279907405e-05,2.1544350602198392e-05
f178_q50,0.3078580292876644,0.0001111644418120654,0.771615207195282,0.7108374834060669,0.06077772378921509
f48_q75,0.3076892529163564,0.00011216795101594961,6.012774974806234e-06,3.088009179919027e-06,2.9247657948872074e-06
f132_mean,0.30766939687267314,0.00011248781130884111,0.00036095496034249663,0.0002649573143571615,9.599764598533511e-05
f284_q75,0.30766939687267314,0.00011248781130884111,0.057777196168899536,0.0439862497150898,0.013790946453809738
f10_q50,0.30761975676346487,0.0001128182430847428,2.762152871582657e-05,2.0719036911032163e-05,6.902491804794408e-06
f285_q25,0.3075800446760983,0.00011316077134042168,0.03204342722892761,0.03599800541996956,0.003954578191041946
f31_q25,0.30753040456689007,0.00011348877601121198,1.1865928172483109e-05,9.608103027858306e-06,2.2578251446248032e-06
f116_q75,0.30753040456689007,0.00011348877601121198,3.175350502715446e-05,2.101897007378284e-05,1.0734534953371622e-05
f34_q50,0.3075006205013651,0.00011358720751814593,0.3304613530635834,0.28487148880958557,0.0455898642539978
f14_mean,0.3074410523703152,0.00011416924719875697,0.0004579177184496075,0.00033904745941981673,0.00011887025902979076
f304_q25,0.3074410523703152,0.00011416924719875697,8.09603589004837e-05,6.568447861354798e-05,1.5275880286935717e-05
f450_mean,0.307222635889799,0.00011567933893155894,3.192382747041478e-10,2.093975964845285e-10,1.0984067821961929e-10
f82_q25,0.3071729957805907,0.00011613752883407372,0.1974920928478241,0.2198771983385086,0.02238510549068451
f228_mean,0.30684537105981635,0.00011863827687661092,8.013044117127777e-10,4.6254097774145464e-10,3.38763433971323e-10
f383_q25,0.306656738644825,0.00012004542663204155,0.13692575693130493,0.13360168039798737,0.003324076533317566
f336_q75,0.306487962273517,0.00012121596651943848,5.148154741618782e-06,2.6406282813695725e-06,2.5075264602492098e-06
f95_mean,0.30615040953090095,0.00012400180062142424,0.18197286128997803,0.14417488873004913,0.037797972559928894
f284_q50,0.30615040953090095,0.00012400180062142424,0.04584157094359398,0.03967234119772911,0.006169229745864868
f383_q75,0.30615040953090095,0.00012400180062142424,0.19524069130420685,0.14416934549808502,0.051071345806121826
f430_q25,0.30611069744353436,0.00012435721508957938,0.00023214118846226484,0.0002896179794333875,5.747679097112268e-05
f110_mean,0.30578307272276,0.00012695900875385783,5.4629776258252605e-09,3.2265572436074308e-09,2.2364203822178297e-09
f135_mean,0.30564408041697694,0.0001280811573267905,0.00015994464047253132,0.0001241553109139204,3.5789329558610916e-05
f137_q50,0.30550508811119387,0.00012921275126024796,0.0006926017231307924,0.0005372127052396536,0.0001553890178911388
f469_q75,0.30532638371804416,0.00013074489276039333,0.025857320055365562,0.02077299915254116,0.005084320902824402
f126_q50,0.30527674360883594,0.0001311301376334857,-0.0001758643629727885,-0.0001295450929319486,4.631927004083991e-05
f286_q25,0.3051377513030529,0.00013228706645122766,0.12656547129154205,0.12380672246217728,0.0027587488293647766
f32_mean,0.3051377513030529,0.00013228706645122766,6.650484283454716e-05,4.7789599193492904e-05,1.8715243641054258e-05
f28_q25,0.3051377513030529,0.00013228706645122766,2.4077562557067722e-05,1.9853921912726946e-05,4.223640644340776e-06
f127_q75,0.305048399106478,0.00013307168563867695,-0.00014566961908712983,-0.0001167485024780035,2.892111660912633e-05
f137_mean,0.3049987589972698,0.00013345372565129723,0.0007014430011622608,0.0005381405353546143,0.0001633024658076465
f16_q50,0.30485976669148673,0.00013463106788547788,0.0001032861036946997,7.266001193784177e-05,3.062609175685793e-05
f116_mean,0.3047704144949119,0.00013543047686334227,2.747908183664549e-05,1.9775814507738687e-05,7.703267328906804e-06
f473_q75,0.3047704144949119,0.00013543047686334227,0.08655208349227905,0.09287916123867035,0.006327077746391296
f106_q75,0.3047704144949119,0.00013543047686334227,0.00013047641550656408,8.974689262686297e-05,4.072952287970111e-05
f4_mean,0.30472077438570366,0.00013581993902085738,2.801267874019686e-05,2.0651317754527554e-05,7.361360985669307e-06
f464_mean,0.30472077438570366,0.00013581993902085738,2.5081814403193903e-10,1.3107606666729055e-10,1.1974207736464848e-10
f349_q75,0.3046314221891288,0.00013662319304398398,3.7242281791805e-07,1.9003179829724104e-07,1.8239101962080895e-07
f95_q75,0.3046314221891288,0.00013662319304398398,0.2227196991443634,0.15642906725406647,0.06629063189029694
f13_q75,0.3045817820799206,0.00013702059191164078,0.00011820439976872876,8.339561463799328e-05,3.480878513073549e-05
f112_mean,0.3045817820799206,0.00013702059191164078,2.0303421166545377e-08,1.2211756938995677e-08,8.0916642275497e-09
f76_q50,0.30449242988334574,0.0001378259325961001,1.1481437328653143e-10,8.847936966427383e-11,2.6335003622257602e-11
f76_mean,0.30435343757756267,0.00013903967498427936,1.610208633096022e-10,9.334365225210917e-11,6.767721105749303e-11
f157_mean,0.3042740134028295,0.0001397474223149522,2.8222673790878616e-05,1.8829507098416798e-05,9.393166692461818e-06
f132_q25,0.3042640853809878,0.00013986376227402336,0.0003203028754796833,0.00025322200963273644,6.708086584694684e-05
f30_q50,0.30418466120625465,0.00014046173607588453,3.095615466008894e-05,2.0562703866744414e-05,1.0393450793344527e-05
f95_q25,0.30412509307520474,0.00014109329978984506,0.13743151724338531,0.13037410378456116,0.007057413458824158
f94_q25,0.3039861007694217,0.00014233316182732156,0.03810145705938339,0.03776009380817413,0.00034136325120925903
f151_mean,0.3039861007694217,0.00014233316182732156,5.7017219660338014e-05,3.8182879507075995e-05,1.883434015326202e-05
f454_q25,0.3039861007694217,0.00014233316182732156,7.015130837340067e-11,6.628104315398176e-11,3.870265219418911e-12
f16_mean,0.3038471084636386,0.00014358435516321366,0.00010465925879543647,7.293275848496705e-05,3.172650031046942e-05
f178_mean,0.303807396376272,0.0001440120069653264,0.7682720422744751,0.7108104228973389,0.05746161937713623
f118_q25,0.30370811615785553,0.00014484777255756827,0.00010153897164855152,8.066895679803565e-05,2.0870014850515872e-05
f27_q50,0.30361876396128074,0.00014570124934585853,6.258603389142081e-05,4.17669398302678e-05,2.081909406115301e-05
f109_q25,0.30361876396128074,0.00014570124934585853,3.5858043201386636e-09,2.53834864238911e-09,1.0474556777495536e-09
