threshold,precision,recall,specificity,f1,balanced_accuracy,mcc,kappa
0.34,0.021866022579641726,0.5271283634759594,0.8418728202640383,0.04199023156119329,0.6845005918699989,0.0817550957806933,0.029576604941023543
0.35000000000000003,0.02268376167546557,0.5174239082487869,0.8505045007202927,0.043462151246804255,0.6839642044845398,0.0833747675907801,0.031095963053066278
0.36000000000000004,0.023553162853297442,0.5094838994265549,0.8583582058646915,0.04502485137900789,0.6839210526456232,0.08520321562768686,0.032707428590865395
0.37,0.024374021069796383,0.5011027790030878,0.8654930973179079,0.04648688464214102,0.6832979381604978,0.08673975390439922,0.034216963362866726
0.38,0.025260399014889627,0.49316277018085575,0.8723854261263633,0.04805914972273567,0.6827740981536095,0.08840382144743283,0.035839916128149185
0.39,0.026294440467668816,0.48610498456109397,0.8792866291779197,0.04989021436494104,0.6826958068695068,0.09045047973244284,0.03772812551896765
0.4,0.027425255456036333,0.47948831054256724,0.8859718923140181,0.05188296501360316,0.6827301014282927,0.09267500453006201,0.039782482923741425
0.41000000000000003,0.028573713249993336,0.4728716365240406,0.89219273672783,0.05389101146189423,0.6825321866259353,0.09481851990247012,0.041853393343857404
0.42000000000000004,0.029876779384459574,0.46846052051168946,0.8979935336348603,0.05617115806733134,0.6832270270732749,0.09746598623396044,0.04420085410296337
0.43,0.031298484306003106,0.462726069695633,0.9039599830797765,0.05863119358354526,0.6833430263877047,0.100104980976331,0.04673583219576427
0.44,0.032938949361097966,0.46052051168945746,0.9093318582369245,0.06148047818149697,0.684926184963191,0.10352265190287091,0.04966467329950974
0.45,0.0345658357035302,0.4556682840758712,0.9146534460165002,0.0642572779298333,0.6851608650461857,0.10643516931935872,0.05252446324355764
0.46,0.03608320362247064,0.44993383325981473,0.9193982079945098,0.06680858031766826,0.6846660206271622,0.10886139693140852,0.05515534523808452
0.47000000000000003,0.03761684874422795,0.4419938244375827,0.9241695927018225,0.06933296429559922,0.6830817085697026,0.11089316102335485,0.0577644985658432
0.48000000000000004,0.039545997610513736,0.43802382002646667,0.9286599597109363,0.07254264528618913,0.6833418898687015,0.1141001776411636,0.06106947996503087
0.49,0.04156995146655412,0.4344949272165858,0.9328219797253126,0.07588013250134812,0.6836584534709491,0.11739725547569645,0.06450519852252357
0.5,0.04371854780733286,0.42920158800176444,0.9370431613603623,0.07935407576560781,0.6831223746810633,0.12050597709491705,0.06808630121271331
0.51,0.046178191234295576,0.42479047198941333,0.9411608101592335,0.08330089528999611,0.6829756410743234,0.12411785863424762,0.07215156623421715
